Date : 2023-01-21 11:36:14
Directory : /home/amit/buffer-ui
Total : 821 files,  77642 codes, 3788 comments, 3115 blanks, all 84545 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/amit/buffer-ui/src/Views/BinaryOptions/style.ts                                                                     | TypeScript         |        195 |         13 |         12 |        220 |
| /home/amit/buffer-ui/src/Views/Common/AccountInfo/index.tsx                                                               | TypeScript React   |         51 |          1 |          7 |         59 |
| /home/amit/buffer-ui/src/Views/Common/AccountInfo/style.ts                                                                | TypeScript         |         44 |          2 |          3 |         49 |
| /home/amit/buffer-ui/src/Views/Common/Aligner/index.tsx                                                                   | TypeScript React   |         64 |          0 |          4 |         68 |
| /home/amit/buffer-ui/src/Views/Common/Aligner/style.ts                                                                    | TypeScript         |         35 |          1 |          2 |         38 |
| /home/amit/buffer-ui/src/Views/Common/AreaChart/index.tsx                                                                 | TypeScript React   |        304 |         22 |          7 |        333 |
| /home/amit/buffer-ui/src/Views/Common/AreaChart/style.ts                                                                  | TypeScript         |          3 |          0 |          2 |          5 |
| /home/amit/buffer-ui/src/Views/Common/AssetInfo/index.tsx                                                                 | TypeScript React   |        167 |          5 |          7 |        179 |
| /home/amit/buffer-ui/src/Views/Common/AssetInfo/styles.ts                                                                 | TypeScript         |        112 |         22 |          4 |        138 |
| /home/amit/buffer-ui/src/Views/Common/Banner/index.tsx                                                                    | TypeScript React   |         45 |          0 |          3 |         48 |
| /home/amit/buffer-ui/src/Views/Common/Banner/style.ts                                                                     | TypeScript         |         62 |          0 |          9 |         71 |
| /home/amit/buffer-ui/src/Views/Common/Buffer-Dropdown/index.tsx                                                           | TypeScript React   |         81 |          4 |          4 |         89 |
| /home/amit/buffer-ui/src/Views/Common/Buffer-Dropdown/style.tsx                                                           | TypeScript React   |        118 |          0 |          2 |        120 |
| /home/amit/buffer-ui/src/Views/Common/BufferAnimatableTab.tsx                                                             | TypeScript React   |         76 |          0 |          3 |         79 |
| /home/amit/buffer-ui/src/Views/Common/BufferCheckbox/index.tsx                                                            | TypeScript React   |         59 |         10 |          4 |         73 |
| /home/amit/buffer-ui/src/Views/Common/BufferCheckbox/style.ts                                                             | TypeScript         |         34 |          0 |          3 |         37 |
| /home/amit/buffer-ui/src/Views/Common/BufferDisclaimer/index.tsx                                                          | TypeScript React   |         33 |          1 |          4 |         38 |
| /home/amit/buffer-ui/src/Views/Common/BufferDisclaimer/style.ts                                                           | TypeScript         |         28 |          0 |          3 |         31 |
| /home/amit/buffer-ui/src/Views/Common/BufferDropdown/index.tsx                                                            | TypeScript React   |         94 |          4 |          7 |        105 |
| /home/amit/buffer-ui/src/Views/Common/BufferDropdown/style.ts                                                             | TypeScript         |        112 |          5 |          8 |        125 |
| /home/amit/buffer-ui/src/Views/Common/BufferInput/index.tsx                                                               | TypeScript React   |        155 |          1 |          8 |        164 |
| /home/amit/buffer-ui/src/Views/Common/BufferProgressBar.tsx/index.tsx                                                     | TypeScript React   |         31 |          0 |          4 |         35 |
| /home/amit/buffer-ui/src/Views/Common/BufferSlider/index.tsx                                                              | TypeScript React   |         53 |          1 |          6 |         60 |
| /home/amit/buffer-ui/src/Views/Common/BufferSlider/style.ts                                                               | TypeScript         |         78 |          1 |          4 |         83 |
| /home/amit/buffer-ui/src/Views/Common/BufferSwitch/index.tsx                                                              | TypeScript React   |         44 |          0 |          6 |         50 |
| /home/amit/buffer-ui/src/Views/Common/BufferSwitch/style.ts                                                               | TypeScript         |         73 |          0 |         12 |         85 |
| /home/amit/buffer-ui/src/Views/Common/BufferSwitchLabelled/index.tsx                                                      | TypeScript React   |         30 |          1 |          4 |         35 |
| /home/amit/buffer-ui/src/Views/Common/BufferTab/index.tsx                                                                 | TypeScript React   |         56 |         41 |          6 |        103 |
| /home/amit/buffer-ui/src/Views/Common/BufferTab/style.tsx                                                                 | TypeScript React   |         54 |          0 |          3 |         57 |
| /home/amit/buffer-ui/src/Views/Common/BufferTable/CellInfo.tsx                                                            | TypeScript React   |        135 |          1 |          9 |        145 |
| /home/amit/buffer-ui/src/Views/Common/BufferTable/ErrorMsg/index.tsx                                                      | TypeScript React   |         44 |          0 |          4 |         48 |
| /home/amit/buffer-ui/src/Views/Common/BufferTable/ErrorMsg/style.ts                                                       | TypeScript         |         23 |          0 |          2 |         25 |
| /home/amit/buffer-ui/src/Views/Common/BufferTable/TableAssetCell/index.tsx                                                | TypeScript React   |         26 |          0 |          4 |         30 |
| /home/amit/buffer-ui/src/Views/Common/BufferTable/TableAssetCell/style.ts                                                 | TypeScript         |         30 |          1 |          3 |         34 |
| /home/amit/buffer-ui/src/Views/Common/BufferTable/index.tsx                                                               | TypeScript React   |        201 |          0 |          5 |        206 |
| /home/amit/buffer-ui/src/Views/Common/BufferTable/style.ts                                                                | TypeScript         |        159 |          0 |         10 |        169 |
| /home/amit/buffer-ui/src/Views/Common/BufferTableCard/index.tsx                                                           | TypeScript React   |         67 |         14 |          8 |         89 |
| /home/amit/buffer-ui/src/Views/Common/BufferTableCard/style.ts                                                            | TypeScript         |         31 |          1 |          5 |         37 |
| /home/amit/buffer-ui/src/Views/Common/BufferTextInputRoot/index.tsx                                                       | TypeScript React   |        107 |          4 |          6 |        117 |
| /home/amit/buffer-ui/src/Views/Common/BufferTextInputRoot/style.tsx                                                       | TypeScript React   |         51 |          0 |          2 |         53 |
| /home/amit/buffer-ui/src/Views/Common/BufferThemeSwitcher/index.tsx                                                       | TypeScript React   |        109 |          2 |          6 |        117 |
| /home/amit/buffer-ui/src/Views/Common/BufferThemeSwitcher/styles.tsx                                                      | TypeScript React   |         55 |          0 |          2 |         57 |
| /home/amit/buffer-ui/src/Views/Common/BufferToggleButton/index.tsx                                                        | TypeScript React   |         30 |          1 |          1 |         32 |
| /home/amit/buffer-ui/src/Views/Common/BufferToggleButton/style.ts                                                         | TypeScript         |         53 |          3 |          3 |         59 |
| /home/amit/buffer-ui/src/Views/Common/BufferTransitionedTab.tsx                                                           | TypeScript React   |         62 |          0 |          3 |         65 |
| /home/amit/buffer-ui/src/Views/Common/ButtonLoader/ButtonLoader.tsx                                                       | TypeScript React   |         13 |          0 |          3 |         16 |
| /home/amit/buffer-ui/src/Views/Common/Buttons/index.tsx                                                                   | TypeScript React   |         92 |         11 |          8 |        111 |
| /home/amit/buffer-ui/src/Views/Common/Buttons/style.tsx                                                                   | TypeScript React   |         36 |          0 |          3 |         39 |
| /home/amit/buffer-ui/src/Views/Common/Card/index.tsx                                                                      | TypeScript React   |         14 |          0 |          4 |         18 |
| /home/amit/buffer-ui/src/Views/Common/Card/style.ts                                                                       | TypeScript         |          3 |          0 |          2 |          5 |
| /home/amit/buffer-ui/src/Views/Common/ChainAccountDropdowns/index.tsx                                                     | TypeScript React   |        120 |          5 |          9 |        134 |
| /home/amit/buffer-ui/src/Views/Common/ChainAccountDropdowns/style.ts                                                      | TypeScript         |         88 |         37 |          6 |        131 |
| /home/amit/buffer-ui/src/Views/Common/Chips/index.tsx                                                                     | TypeScript React   |         10 |          0 |          4 |         14 |
| /home/amit/buffer-ui/src/Views/Common/Chips/style.ts                                                                      | TypeScript         |         12 |          0 |          2 |         14 |
| /home/amit/buffer-ui/src/Views/Common/ClientOnlyPortal/index.tsx                                                          | TypeScript React   |         18 |          1 |          5 |         24 |
| /home/amit/buffer-ui/src/Views/Common/ClientOnlyPortal/styles.ts                                                          | TypeScript         |          3 |          0 |          2 |          5 |
| /home/amit/buffer-ui/src/Views/Common/ConfirmationModal/index.tsx                                                         | TypeScript React   |        151 |         10 |          3 |        164 |
| /home/amit/buffer-ui/src/Views/Common/ConfirmationModal/style.ts                                                          | TypeScript         |        116 |          4 |          8 |        128 |
| /home/amit/buffer-ui/src/Views/Common/ConnectionDrawer/index.tsx                                                          | TypeScript React   |        113 |          1 |         10 |        124 |
| /home/amit/buffer-ui/src/Views/Common/ConnectionDrawer/style.ts                                                           | TypeScript         |         56 |          7 |          4 |         67 |
| /home/amit/buffer-ui/src/Views/Common/Dialog/index.tsx                                                                    | TypeScript React   |         75 |          4 |         11 |         90 |
| /home/amit/buffer-ui/src/Views/Common/Disclaimer/index.tsx                                                                | TypeScript React   |         13 |          0 |          4 |         17 |
| /home/amit/buffer-ui/src/Views/Common/Disclaimer/style.ts                                                                 | TypeScript         |         12 |          0 |          2 |         14 |
| /home/amit/buffer-ui/src/Views/Common/DraggableModal/index.tsx                                                            | TypeScript React   |         38 |          0 |          7 |         45 |
| /home/amit/buffer-ui/src/Views/Common/DraggableModal/style.ts                                                             | TypeScript         |         33 |          1 |          4 |         38 |
| /home/amit/buffer-ui/src/Views/Common/Dropdown/index.tsx                                                                  | TypeScript React   |         91 |          2 |          6 |         99 |
| /home/amit/buffer-ui/src/Views/Common/Dropdown/styles.ts                                                                  | TypeScript         |        294 |         41 |         11 |        346 |
| /home/amit/buffer-ui/src/Views/Common/GraphView/AreaData.ts                                                               | TypeScript         |        152 |          0 |          1 |        153 |
| /home/amit/buffer-ui/src/Views/Common/GraphView/PriceData.ts                                                              | TypeScript         |        152 |          0 |          1 |        153 |
| /home/amit/buffer-ui/src/Views/Common/GraphView/PriceData2.ts                                                             | TypeScript         |         58 |          0 |          1 |         59 |
| /home/amit/buffer-ui/src/Views/Common/GraphView/index.tsx                                                                 | TypeScript React   |          8 |          0 |          3 |         11 |
| /home/amit/buffer-ui/src/Views/Common/GraphView/style.ts                                                                  | TypeScript         |         29 |          0 |          2 |         31 |
| /home/amit/buffer-ui/src/Views/Common/Header.tsx                                                                          | TypeScript React   |         71 |          0 |          3 |         74 |
| /home/amit/buffer-ui/src/Views/Common/HeroCard/index.tsx                                                                  | TypeScript React   |         27 |          0 |          4 |         31 |
| /home/amit/buffer-ui/src/Views/Common/HeroCard/style.ts                                                                   | TypeScript         |         35 |         21 |          4 |         60 |
| /home/amit/buffer-ui/src/Views/Common/InfoCard/index.tsx                                                                  | TypeScript React   |         17 |          0 |          4 |         21 |
| /home/amit/buffer-ui/src/Views/Common/InfoCard/style.ts                                                                   | TypeScript         |         14 |          2 |          2 |         18 |
| /home/amit/buffer-ui/src/Views/Common/InfoTooltip/index.tsx                                                               | TypeScript React   |         12 |          0 |          3 |         15 |
| /home/amit/buffer-ui/src/Views/Common/LeftBorderedDiv.tsx                                                                 | TypeScript React   |         30 |          1 |          6 |         37 |
| /home/amit/buffer-ui/src/Views/Common/Missing/index.tsx                                                                   | TypeScript React   |         46 |          4 |          5 |         55 |
| /home/amit/buffer-ui/src/Views/Common/Missing/style.ts                                                                    | TypeScript         |         22 |          0 |          2 |         24 |
| /home/amit/buffer-ui/src/Views/Common/Mobile/AlignerMobile/index.tsx                                                      | TypeScript React   |         65 |          1 |          5 |         71 |
| /home/amit/buffer-ui/src/Views/Common/Mobile/AlignerMobile/style.ts                                                       | TypeScript         |          8 |          0 |          2 |         10 |
| /home/amit/buffer-ui/src/Views/Common/Mobile/AssetCellMobile/index.tsx                                                    | TypeScript React   |         68 |          0 |          5 |         73 |
| /home/amit/buffer-ui/src/Views/Common/Mobile/AssetCellMobile/style.ts                                                     | TypeScript         |         36 |          2 |          3 |         41 |
| /home/amit/buffer-ui/src/Views/Common/NFTtier.tsx                                                                         | TypeScript React   |         17 |          0 |          2 |         19 |
| /home/amit/buffer-ui/src/Views/Common/Navbar/AccountDropdown.tsx                                                          | TypeScript React   |         86 |          3 |          8 |         97 |
| /home/amit/buffer-ui/src/Views/Common/Navbar/BufferLogo.tsx                                                               | TypeScript React   |         21 |          0 |          2 |         23 |
| /home/amit/buffer-ui/src/Views/Common/Navbar/Tab.tsx                                                                      | TypeScript React   |         20 |          0 |          2 |         22 |
| /home/amit/buffer-ui/src/Views/Common/Navbar/TabsDropDown.tsx                                                             | TypeScript React   |         85 |          0 |          4 |         89 |
| /home/amit/buffer-ui/src/Views/Common/Navbar/chainDropdown.tsx                                                            | TypeScript React   |        125 |          0 |          7 |        132 |
| /home/amit/buffer-ui/src/Views/Common/Navbar/index.tsx                                                                    | TypeScript React   |         67 |         17 |          8 |         92 |
| /home/amit/buffer-ui/src/Views/Common/Navbar/socialLinks.ts                                                               | TypeScript         |         42 |          0 |          2 |         44 |
| /home/amit/buffer-ui/src/Views/Common/Notification/index.tsx                                                              | TypeScript React   |         29 |          0 |          4 |         33 |
| /home/amit/buffer-ui/src/Views/Common/Notification/notifications.tsx                                                      | TypeScript React   |         18 |          0 |          2 |         20 |
| /home/amit/buffer-ui/src/Views/Common/Notification/warning.tsx                                                            | TypeScript React   |         30 |          0 |          2 |         32 |
| /home/amit/buffer-ui/src/Views/Common/RowStrip/index.tsx                                                                  | TypeScript React   |         15 |          0 |          4 |         19 |
| /home/amit/buffer-ui/src/Views/Common/RowStrip/style.ts                                                                   | TypeScript         |         59 |          2 |          2 |         63 |
| /home/amit/buffer-ui/src/Views/Common/SocialMedia/MobileFooter/index.tsx                                                  | TypeScript React   |         23 |          0 |          5 |         28 |
| /home/amit/buffer-ui/src/Views/Common/SocialMedia/MobileFooter/style.tsx                                                  | TypeScript React   |         21 |          0 |          2 |         23 |
| /home/amit/buffer-ui/src/Views/Common/SocialMedia/TimerStyle.tsx                                                          | TypeScript React   |         23 |          0 |          3 |         26 |
| /home/amit/buffer-ui/src/Views/Common/SocialMedia/index.tsx                                                               | TypeScript React   |         63 |          0 |          4 |         67 |
| /home/amit/buffer-ui/src/Views/Common/SocialMedia/style.tsx                                                               | TypeScript React   |         41 |          0 |          3 |         44 |
| /home/amit/buffer-ui/src/Views/Common/TabList/index.tsx                                                                   | TypeScript React   |         41 |          0 |          5 |         46 |
| /home/amit/buffer-ui/src/Views/Common/TabList/style.ts                                                                    | TypeScript         |         26 |          1 |          2 |         29 |
| /home/amit/buffer-ui/src/Views/Common/TabSwitch/index.tsx                                                                 | TypeScript React   |         27 |          0 |          3 |         30 |
| /home/amit/buffer-ui/src/Views/Common/TabSwitch/style.ts                                                                  | TypeScript         |         20 |          0 |          2 |         22 |
| /home/amit/buffer-ui/src/Views/Common/TableComponents/TableComponents.tsx                                                 | TypeScript React   |        103 |          0 |          9 |        112 |
| /home/amit/buffer-ui/src/Views/Common/TableComponents/style.ts                                                            | TypeScript         |         75 |          1 |          6 |         82 |
| /home/amit/buffer-ui/src/Views/Common/TableMobile/index.tsx                                                               | TypeScript React   |        150 |          0 |         11 |        161 |
| /home/amit/buffer-ui/src/Views/Common/TableMobile/style.ts                                                                | TypeScript         |         97 |          4 |          5 |        106 |
| /home/amit/buffer-ui/src/Views/Common/TitleHead.tsx                                                                       | TypeScript React   |          7 |          0 |          2 |          9 |
| /home/amit/buffer-ui/src/Views/Common/TnCModal.tsx                                                                        | TypeScript React   |         51 |          3 |          5 |         59 |
| /home/amit/buffer-ui/src/Views/Common/Toast/index.tsx                                                                     | TypeScript React   |        147 |         23 |         11 |        181 |
| /home/amit/buffer-ui/src/Views/Common/Toast/style.ts                                                                      | TypeScript         |        138 |          4 |          8 |        150 |
| /home/amit/buffer-ui/src/Views/Common/Toggler/index.tsx                                                                   | TypeScript React   |         29 |          0 |          3 |         32 |
| /home/amit/buffer-ui/src/Views/Common/Toggler/style.ts                                                                    | TypeScript         |         32 |          0 |          2 |         34 |
| /home/amit/buffer-ui/src/Views/Common/Tooltip/index.tsx                                                                   | TypeScript React   |         30 |          0 |          2 |         32 |
| /home/amit/buffer-ui/src/Views/Common/Tooltip/style.ts                                                                    | TypeScript         |        101 |          0 |         14 |        115 |
| /home/amit/buffer-ui/src/Views/Common/Tooltips/Display/index.tsx                                                          | TypeScript React   |        114 |         19 |          8 |        141 |
| /home/amit/buffer-ui/src/Views/Common/Tooltips/index.tsx                                                                  | TypeScript React   |         35 |          1 |          5 |         41 |
| /home/amit/buffer-ui/src/Views/Common/TopBanner/index.tsx                                                                 | TypeScript React   |         20 |          1 |          4 |         25 |
| /home/amit/buffer-ui/src/Views/Common/TopBanner/style.ts                                                                  | TypeScript         |         28 |          1 |          3 |         32 |
| /home/amit/buffer-ui/src/Views/Common/Transition/index.tsx                                                                | TypeScript React   |         53 |          3 |          6 |         62 |
| /home/amit/buffer-ui/src/Views/Common/Transitions/Horizontal/index.tsx                                                    | TypeScript React   |         24 |          0 |          3 |         27 |
| /home/amit/buffer-ui/src/Views/Common/Transitions/Horizontal/style.ts                                                     | TypeScript         |         25 |          1 |          4 |         30 |
| /home/amit/buffer-ui/src/Views/Common/Transitions/Vertical/index.tsx                                                      | TypeScript React   |         20 |          0 |          3 |         23 |
| /home/amit/buffer-ui/src/Views/Common/Transitions/Vertical/style.ts                                                       | TypeScript         |         11 |          0 |          2 |         13 |
| /home/amit/buffer-ui/src/Views/Common/TryTestnet/index.tsx                                                                | TypeScript React   |         38 |          0 |          4 |         42 |
| /home/amit/buffer-ui/src/Views/Common/TryTestnet/style.ts                                                                 | TypeScript         |         45 |          7 |          5 |         57 |
| /home/amit/buffer-ui/src/Views/Common/TypeChip/index.tsx                                                                  | TypeScript React   |          8 |          0 |          3 |         11 |
| /home/amit/buffer-ui/src/Views/Common/UnorderedList/index.tsx                                                             | TypeScript React   |         19 |          0 |          4 |         23 |
| /home/amit/buffer-ui/src/Views/Common/UnorderedList/style.ts                                                              | TypeScript         |         34 |          1 |          2 |         37 |
| /home/amit/buffer-ui/src/Views/Common/V2-Button/ButtonLoader.tsx                                                          | TypeScript React   |         13 |          0 |          3 |         16 |
| /home/amit/buffer-ui/src/Views/Common/V2-Button/index.tsx                                                                 | TypeScript React   |         99 |          0 |          3 |        102 |
| /home/amit/buffer-ui/src/Views/Common/V2-Drawer/connectionDrawer.tsx                                                      | TypeScript React   |        118 |          1 |          5 |        124 |
| /home/amit/buffer-ui/src/Views/Common/V2-Drawer/index.tsx                                                                 | TypeScript React   |         38 |          0 |          4 |         42 |
| /home/amit/buffer-ui/src/Views/Common/VersionChip/index.tsx                                                               | TypeScript React   |         17 |          0 |          3 |         20 |
| /home/amit/buffer-ui/src/Views/Common/VersionChip/style.ts                                                                | TypeScript         |         13 |          0 |          2 |         15 |
| /home/amit/buffer-ui/src/Views/Common/VerticalTabs/index.tsx                                                              | TypeScript React   |         85 |          3 |          5 |         93 |
| /home/amit/buffer-ui/src/Views/Common/VerticalTabs/style.ts                                                               | TypeScript         |         44 |          0 |          2 |         46 |
| /home/amit/buffer-ui/src/Views/Common/pagination.tsx                                                                      | TypeScript React   |         43 |          0 |          4 |         47 |
| /home/amit/buffer-ui/src/Views/Common/v2-AssetDropDown/index.tsx                                                          | TypeScript React   |        166 |          4 |          8 |        178 |
| /home/amit/buffer-ui/src/Views/Common/v2-AssetDropDown/style.ts                                                           | TypeScript         |         86 |          2 |          6 |         94 |
| /home/amit/buffer-ui/src/Views/Common/v2-BufferInput/index.tsx                                                            | TypeScript React   |        100 |          5 |          3 |        108 |
| /home/amit/buffer-ui/src/Views/Common/v2-BufferInput/style.ts                                                             | TypeScript         |         39 |          2 |          5 |         46 |
| /home/amit/buffer-ui/src/Views/Common/v2-OptionsDropdown/index.tsx                                                        | TypeScript React   |         89 |         11 |          4 |        104 |
| /home/amit/buffer-ui/src/Views/Common/v2-OptionsDropdown/style.ts                                                         | TypeScript         |         49 |          1 |          3 |         53 |
| /home/amit/buffer-ui/src/Views/Earn/Components/Card.tsx                                                                   | TypeScript React   |         35 |          0 |          4 |         39 |
| /home/amit/buffer-ui/src/Views/Earn/Components/Divider.tsx                                                                | TypeScript React   |          3 |          0 |          1 |          4 |
| /home/amit/buffer-ui/src/Views/Earn/Components/EarnButtons.tsx                                                            | TypeScript React   |        185 |         27 |          6 |        218 |
| /home/amit/buffer-ui/src/Views/Earn/Components/EarnCards.tsx                                                              | TypeScript React   |        594 |         22 |         10 |        626 |
| /home/amit/buffer-ui/src/Views/Earn/Components/ExchangeIcon.tsx                                                           | TypeScript React   |          6 |          0 |          2 |          8 |
| /home/amit/buffer-ui/src/Views/Earn/Components/Section.tsx                                                                | TypeScript React   |         27 |          0 |          1 |         28 |
| /home/amit/buffer-ui/src/Views/Earn/Components/VestCards.tsx                                                              | TypeScript React   |        138 |          2 |          4 |        144 |
| /home/amit/buffer-ui/src/Views/Earn/Config/Abis/BFR.json                                                                  | JSON               |        686 |          0 |          0 |        686 |
| /home/amit/buffer-ui/src/Views/Earn/Config/Abis/BLP.json                                                                  | JSON               |      1,154 |          0 |          0 |      1,154 |
| /home/amit/buffer-ui/src/Views/Earn/Config/Abis/BufferBinaryIBFRPoolBinaryV2.json                                         | JSON               |      1,193 |          0 |          0 |      1,193 |
| /home/amit/buffer-ui/src/Views/Earn/Config/Abis/EsBFR.json                                                                | JSON               |        686 |          0 |          0 |        686 |
| /home/amit/buffer-ui/src/Views/Earn/Config/Abis/RewardRouterV2.json                                                       | JSON               |        661 |          0 |          0 |        661 |
| /home/amit/buffer-ui/src/Views/Earn/Config/Abis/RewardTracker.json                                                        | JSON               |        911 |          0 |          0 |        911 |
| /home/amit/buffer-ui/src/Views/Earn/Config/Abis/Token.json                                                                | JSON               |        338 |          0 |          0 |        338 |
| /home/amit/buffer-ui/src/Views/Earn/Config/Abis/Vester.json                                                               | JSON               |      1,024 |          0 |          0 |      1,024 |
| /home/amit/buffer-ui/src/Views/Earn/Config/Address.tsx                                                                    | TypeScript React   |         45 |          0 |          2 |         47 |
| /home/amit/buffer-ui/src/Views/Earn/Hooks/useEarnWriteCalls.tsx                                                           | TypeScript React   |        131 |         27 |         13 |        171 |
| /home/amit/buffer-ui/src/Views/Earn/Hooks/useTokenomicsMulticall.tsx                                                      | TypeScript React   |        990 |         32 |         30 |      1,052 |
| /home/amit/buffer-ui/src/Views/Earn/Modals/buy.tsx                                                                        | TypeScript React   |        177 |          0 |          5 |        182 |
| /home/amit/buffer-ui/src/Views/Earn/Modals/claim.tsx                                                                      | TypeScript React   |         92 |         17 |          2 |        111 |
| /home/amit/buffer-ui/src/Views/Earn/Modals/compound.tsx                                                                   | TypeScript React   |        162 |         19 |          3 |        184 |
| /home/amit/buffer-ui/src/Views/Earn/Modals/deposit.tsx                                                                    | TypeScript React   |        241 |          2 |          9 |        252 |
| /home/amit/buffer-ui/src/Views/Earn/Modals/index.tsx                                                                      | TypeScript React   |        103 |          0 |         14 |        117 |
| /home/amit/buffer-ui/src/Views/Earn/Modals/sell.tsx                                                                       | TypeScript React   |        138 |         13 |          5 |        156 |
| /home/amit/buffer-ui/src/Views/Earn/Modals/stake.tsx                                                                      | TypeScript React   |        197 |          0 |         10 |        207 |
| /home/amit/buffer-ui/src/Views/Earn/earnAtom.ts                                                                           | TypeScript         |        150 |          0 |         10 |        160 |
| /home/amit/buffer-ui/src/Views/Earn/index.tsx                                                                             | TypeScript React   |        117 |          3 |          8 |        128 |
| /home/amit/buffer-ui/src/Views/Faucet/Faucet.json                                                                         | JSON               |        213 |          0 |          1 |        214 |
| /home/amit/buffer-ui/src/Views/Faucet/index.tsx                                                                           | TypeScript React   |        160 |         10 |          7 |        177 |
| /home/amit/buffer-ui/src/Views/Faucet/style.ts                                                                            | TypeScript         |         81 |         10 |          5 |         96 |
| /home/amit/buffer-ui/src/Views/Pro/Common/TableHead.tsx                                                                   | TypeScript React   |         22 |          0 |          1 |         23 |
| /home/amit/buffer-ui/src/Views/Referral/Components/PlainCard.tsx                                                          | TypeScript React   |         36 |          0 |          3 |         39 |
| /home/amit/buffer-ui/src/Views/Referral/Components/ReferralModal.tsx                                                      | TypeScript React   |         56 |          1 |          4 |         61 |
| /home/amit/buffer-ui/src/Views/Referral/Components/ReferralTable.tsx                                                      | TypeScript React   |         64 |          0 |          6 |         70 |
| /home/amit/buffer-ui/src/Views/Referral/Components/ReferralTableBody.tsx                                                  | TypeScript React   |         10 |          0 |          3 |         13 |
| /home/amit/buffer-ui/src/Views/Referral/Config/Address.ts                                                                 | TypeScript         |         15 |          0 |          2 |         17 |
| /home/amit/buffer-ui/src/Views/Referral/Config/ReferralABI.json                                                           | JSON               |        287 |          0 |          1 |        288 |
| /home/amit/buffer-ui/src/Views/Referral/Hooks/useAppliedReferral.ts                                                       | TypeScript         |         21 |          0 |          3 |         24 |
| /home/amit/buffer-ui/src/Views/Referral/Hooks/useCodeOwner.ts                                                             | TypeScript         |         34 |          1 |          4 |         39 |
| /home/amit/buffer-ui/src/Views/Referral/Hooks/useReferralWriteCalls.ts                                                    | TypeScript         |         18 |          0 |          6 |         24 |
| /home/amit/buffer-ui/src/Views/Referral/Hooks/useUserCode.ts                                                              | TypeScript         |         33 |          0 |          6 |         39 |
| /home/amit/buffer-ui/src/Views/Referral/Hooks/useUserReferralData.ts                                                      | TypeScript         |         60 |          0 |          8 |         68 |
| /home/amit/buffer-ui/src/Views/Referral/Utils/isNullAds.ts                                                                | TypeScript         |         10 |          0 |          2 |         12 |
| /home/amit/buffer-ui/src/Views/Referral/Utils/useReferralCode.tsx                                                         | TypeScript React   |         13 |          1 |          2 |         16 |
| /home/amit/buffer-ui/src/Views/Referral/index.tsx                                                                         | TypeScript React   |        463 |         17 |         24 |        504 |
| /home/amit/buffer-ui/src/Views/Referral/referralAtom.ts                                                                   | TypeScript         |          8 |          0 |          4 |         12 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Components/ContestFilterDD/index.tsx                                        | TypeScript React   |         74 |          0 |          8 |         82 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Components/Rank.tsx                                                         | TypeScript React   |         25 |          0 |          3 |         28 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Components/TableAligner/index.tsx                                           | TypeScript React   |         51 |          0 |          3 |         54 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Components/TableAligner/style.ts                                            | TypeScript         |          9 |          5 |          2 |         16 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Components/TopData/index.tsx                                                | TypeScript React   |         24 |          0 |          1 |         25 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Components/Trophy.tsx                                                       | TypeScript React   |         52 |          0 |          2 |         54 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Daily/DailyMobileTable.tsx                                                  | TypeScript React   |        186 |          6 |          9 |        201 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Daily/DailyWebTable.tsx                                                     | TypeScript React   |        243 |         10 |         12 |        265 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Daily/index.tsx                                                             | TypeScript React   |         94 |          0 |          8 |        102 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Daily/stlye.ts                                                              | TypeScript         |         55 |          1 |          7 |         63 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Hooks/useDayOfTournament.ts                                                 | TypeScript         |         19 |          2 |          2 |         23 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Hooks/useLeaderboardQuery.ts                                                | TypeScript         |        132 |         10 |         12 |        154 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Incentivised/index.tsx                                                      | TypeScript React   |        161 |         91 |         11 |        263 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/PNL/index.tsx                                                               | TypeScript React   |        100 |         12 |          7 |        119 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/PNL/style.ts                                                                | TypeScript         |          2 |          0 |          2 |          4 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/PNL/tabFilter.tsx                                                           | TypeScript React   |         70 |          0 |          6 |         76 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Sidebar/index.tsx                                                           | TypeScript React   |        199 |        178 |         20 |        397 |
| /home/amit/buffer-ui/src/Views/V2-Leaderboard/Sidebar/style.ts                                                            | TypeScript         |         61 |          0 |          7 |         68 |
